cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
0,"['4', '1']",9.916163658767971,1,[24.91616365876797],[38.91616365876797],15.0,14.0,29.0,0,True
<<<<<<< HEAD
1,"['12', '7', '3']",45.95246624608481,3,"[82.84635030275116, 116.84635030275116]","[104.84635030275116, 134.84635030275115]",48.89388405666635,39.999999999999986,88.89388405666634,1,True
2,"['13', '7']",47.84635030275116,7,[74.84635030275116],[104.84635030275116],27.0,30.0,57.0,0,True
3,"['B1', '1']",53.19069985029287,15,[68.19069985029287],[74.19069985029287],3540.8093001497073,6.0,3546.8093001497073,1,False
4,"['5', '7']",55.738151958326156,7,[74.73815195832616],[85.73815195832616],19.0,11.0,30.0,0,True
5,"['5', '7', '9']",56.50326350582726,9,"[75.73815195832616, 111.84635030275116]","[85.73815195832616, 121.84635030275116]",45.3430867969239,20.0,65.3430867969239,1,True
6,"['7', '15']",62.026413721920264,15,[109.84635030275116],[148.84635030275115],47.8199365808309,38.999999999999986,86.81993658083088,0,True
7,"['15', '7', '1']",93.78078653807835,1,"[150.84635030275115, 203.84635030275115]","[190.84635030275115, 233.84635030275115]",70.0655637646728,70.0,140.0655637646728,1,True
8,"['11', '7', '1', 'B1']",98.46581066582772,B1,"[169.84635030275115, 201.84635030275115, 245.84635030275115]","[190.84635030275115, 233.84635030275115, 251.84635030275115]",94.38053963692343,59.0,153.38053963692343,2,True
9,"['5', '7', '11']",123.12331422313096,11,"[147.84635030275115, 194.84635030275115]","[157.84635030275115, 212.84635030275115]",61.72303607962019,28.0,89.72303607962019,1,True
10,"['10', '7', '4']",139.8415792341953,4,"[176.84635030275115, 200.84635030275115]","[190.84635030275115, 217.84635030275115]",47.00477106855584,31.0,78.00477106855584,1,True
11,"['15', '7', '1']",185.2917372766533,1,"[233.84635030275115, 323.46741903047456]","[272.7537201033976, 357.01674038203413]",99.26831195317482,72.45669115220602,171.72500310538084,1,True
12,"['B4', '1']",187.56435463843508,2,[206.56435463843508],[224.56435463843508],3394.435645361565,18.0,3412.435645361565,1,False
13,"['14', '7']",192.76717169766087,1,[2599.0224077758967],[2647.0224077758967],3359.232828302339,48.0,3407.232828302339,1,False
14,"['B1', 'B4']",205.6264953293599,B4,[255.84635030275115],[269.84635030275115],50.21985497339125,14.0,64.21985497339125,0,True
15,['1'],245.91038136085672,15,,,3354.0896186391433,,,0,False
16,"['6', '1', 'B3']",249.46741903047456,B3,"[272.46741903047456, 313.46741903047456]","[294.46741903047456, 327.46741903047456]",42.0,36.0,78.0,1,True
17,"['10', '7', '1', 'B3']",251.7537201033976,B3,"[258.7537201033976, 322.46741903047456, 370.01674038203413]","[272.7537201033976, 357.01674038203413, 390.01674038203413]",69.71369892707696,68.54932135155957,138.26302027863653,2,True
